0 மருமகன் மருமகள் மகள் மகன்
1 விவசாயிகள் விவசாயிகளின் மனைவியின் மனைவி
1 விவசாயிகள் விவசாயிகளின் கணவரின் கணவர்
1 விவசாயிகள் விவசாயிகளின் பழத்தின் பழம்
1 விவசாயிகள் விவசாயிகளின் புள்ளியின் புள்ளி
1 விவசாயிகள் விவசாயிகளின் மயிலின் மயில்
1 விவசாயிகள் விவசாயிகளின் மரத்தின் மரம்
1 விவசாயிகள் விவசாயிகளின் படிப்பின் படிப்பு
1 விவசாயிகள் விவசாயிகளின் அம்மாவின் அம்மா
1 விவசாயிகள் விவசாயிகளின் தாயின் தாய்
1 விவசாயிகள் விவசாயிகளின் திரைப்படத்தின் திரைப்படம்
1 விவசாயிகள் விவசாயிகளின் ராஜாவின் ராஜா
1 விவசாயிகள் விவசாயிகளின் ஆண்டவரின் ஆண்டவர்
1 விவசாயிகள் விவசாயிகளின் பிரதமரின் பிரதமர்
1 அரசாங்கம் அரசாங்கத்தின் அவர்களின் அவர்கள்
1 அரசாங்கம் அரசாங்கத்தின் அமைச்சரின் அமைச்சர்
1 அரசாங்கம் அரசாங்கத்தின் கடவுளின் கடவுள்
1 அரசாங்கம் அரசாங்கத்தின் இந்தியாவின் இந்தியா
1 அரசாங்கம் அரசாங்கத்தின் சீனாவின் சீனா
1 அரசாங்கம் அரசாங்கத்தின் தமிழர்களின் தமிழர்கள்
1 அரசாங்கம் அரசாங்கத்தின் மக்களின் மக்கள்
1 அரசாங்கம் அரசாங்கத்தின் கையின் கை
1 அரசாங்கம் அரசாங்கத்தின் தலைவரின் தலைவர்
1 அரசாங்கம் அரசாங்கத்தின் நாயகனின் நாயகன்
1 அரசாங்கம் அரசாங்கத்தின் மனைவியின் மனைவி
1 அரசாங்கம் அரசாங்கத்தின் கணவரின் கணவர்
1 அரசாங்கம் அரசாங்கத்தின் பழத்தின் பழம்
1 அரசாங்கம் அரசாங்கத்தின் புள்ளியின் புள்ளி
1 அரசாங்கம் அரசாங்கத்தின் மயிலின் மயில்
1 அரசாங்கம் அரசாங்கத்தின் மரத்தின் மரம்
1 அரசாங்கம் அரசாங்கத்தின் படிப்பின் படிப்பு
1 அரசாங்கம் அரசாங்கத்தின் அம்மாவின் அம்மா
1 அரசாங்கம் அரசாங்கத்தின் தாயின் தாய்
1 அரசாங்கம் அரசாங்கத்தின் திரைப்படத்தின் திரைப்படம்
1 அரசாங்கம் அரசாங்கத்தின் ராஜாவின் ராஜா
1 அரசாங்கம் அரசாங்கத்தின் ஆண்டவரின் ஆண்டவர்
1 அரசாங்கம் அரசாங்கத்தின் பிரதமரின் பிரதமர்
1 அவர்கள் அவர்களின் அமைச்சரின் அமைச்சர்
1 அவர்கள் அவர்களின் கடவுளின் கடவுள்
1 அவர்கள் அவர்களின் இந்தியாவின் இந்தியா
1 அவர்கள் அவர்களின் சீனாவின் சீனா
1 அவர்கள் அவர்களின் தமிழர்களின் தமிழர்கள்
1 அவர்கள் அவர்களின் மக்களின் மக்கள்
1 அவர்கள் அவர்களின் கையின் கை
1 அவர்கள் அவர்களின் தலைவரின் தலைவர்
1 அவர்கள் அவர்களின் நாயகனின் நாயகன்
1 அவர்கள் அவர்களின் மனைவியின் மனைவி
1 அவர்கள் அவர்களின் கணவரின் கணவர்
1 அவர்கள் அவர்களின் பழத்தின் பழம்
1 அவர்கள் அவர்களின் புள்ளியின் புள்ளி
1 அவர்கள் அவர்களின் மயிலின் மயில்
1 அவர்கள் அவர்களின் மரத்தின் மரம்
1 அவர்கள் அவர்களின் படிப்பின் படிப்பு
1 அவர்கள் அவர்களின் அம்மாவின் அம்மா
1 அவர்கள் அவர்களின் தாயின் தாய்
1 அவர்கள் அவர்களின் திரைப்படத்தின் திரைப்படம்
1 அவர்கள் அவர்களின் ராஜாவின் ராஜா
1 அவர்கள் அவர்களின் ஆண்டவரின் ஆண்டவர்
1 அவர்கள் அவர்களின் பிரதமரின் பிரதமர்
1 அமைச்சர் அமைச்சரின் கடவுளின் கடவுள்
1 அமைச்சர் அமைச்சரின் இந்தியாவின் இந்தியா
1 அமைச்சர் அமைச்சரின் சீனாவின் சீனா
1 அமைச்சர் அமைச்சரின் தமிழர்களின் தமிழர்கள்
1 அமைச்சர் அமைச்சரின் மக்களின் மக்கள்
1 அமைச்சர் அமைச்சரின் கையின் கை
1 அமைச்சர் அமைச்சரின் தலைவரின் தலைவர்
1 அமைச்சர் அமைச்சரின் நாயகனின் நாயகன்
1 அமைச்சர் அமைச்சரின் மனைவியின் மனைவி
1 அமைச்சர் அமைச்சரின் கணவரின் கணவர்
1 அமைச்சர் அமைச்சரின் பழத்தின் பழம்
1 அமைச்சர் அமைச்சரின் புள்ளியின் புள்ளி
1 அமைச்சர் அமைச்சரின் மயிலின் மயில்
1 அமைச்சர் அமைச்சரின் மரத்தின் மரம்
1 அமைச்சர் அமைச்சரின் படிப்பின் படிப்பு
1 அமைச்சர் அமைச்சரின் அம்மாவின் அம்மா
1 அமைச்சர் அமைச்சரின் தாயின் தாய்
1 அமைச்சர் அமைச்சரின் திரைப்படத்தின் திரைப்படம்
1 அமைச்சர் அமைச்சரின் ராஜாவின் ராஜா
1 அமைச்சர் அமைச்சரின் ஆண்டவரின் ஆண்டவர்
1 அமைச்சர் அமைச்சரின் பிரதமரின் பிரதமர்
1 கடவுள் கடவுளின் இந்தியாவின் இந்தியா
1 கடவுள் கடவுளின் சீனாவின் சீனா
1 கடவுள் கடவுளின் தமிழர்களின் தமிழர்கள்
1 கடவுள் கடவுளின் மக்களின் மக்கள்
1 கடவுள் கடவுளின் கையின் கை
1 கடவுள் கடவுளின் தலைவரின் தலைவர்
1 கடவுள் கடவுளின் நாயகனின் நாயகன்
1 கடவுள் கடவுளின் மனைவியின் மனைவி
1 கடவுள் கடவுளின் கணவரின் கணவர்
1 கடவுள் கடவுளின் பழத்தின் பழம்
1 கடவுள் கடவுளின் புள்ளியின் புள்ளி
1 கடவுள் கடவுளின் மயிலின் மயில்
1 கடவுள் கடவுளின் மரத்தின் மரம்
1 கடவுள் கடவுளின் படிப்பின் படிப்பு
1 கடவுள் கடவுளின் அம்மாவின் அம்மா
1 கடவுள் கடவுளின் தாயின் தாய்
1 கடவுள் கடவுளின் திரைப்படத்தின் திரைப்படம்
1 கடவுள் கடவுளின் ராஜாவின் ராஜா
1 கடவுள் கடவுளின் ஆண்டவரின் ஆண்டவர்
1 கடவுள் கடவுளின் பிரதமரின் பிரதமர்
1 இந்தியா இந்தியாவின் சீனாவின் சீனா
1 இந்தியா இந்தியாவின் தமிழர்களின் தமிழர்கள்
1 இந்தியா இந்தியாவின் மக்களின் மக்கள்
1 இந்தியா இந்தியாவின் கையின் கை
1 இந்தியா இந்தியாவின் தலைவரின் தலைவர்
1 இந்தியா இந்தியாவின் நாயகனின் நாயகன்
1 இந்தியா இந்தியாவின் மனைவியின் மனைவி
1 இந்தியா இந்தியாவின் கணவரின் கணவர்
1 இந்தியா இந்தியாவின் பழத்தின் பழம்
1 இந்தியா இந்தியாவின் புள்ளியின் புள்ளி
1 இந்தியா இந்தியாவின் மயிலின் மயில்
1 இந்தியா இந்தியாவின் மரத்தின் மரம்
1 இந்தியா இந்தியாவின் படிப்பின் படிப்பு
1 இந்தியா இந்தியாவின் அம்மாவின் அம்மா
1 இந்தியா இந்தியாவின் தாயின் தாய்
1 இந்தியா இந்தியாவின் திரைப்படத்தின் திரைப்படம்
1 இந்தியா இந்தியாவின் ராஜாவின் ராஜா
1 இந்தியா இந்தியாவின் ஆண்டவரின் ஆண்டவர்
1 இந்தியா இந்தியாவின் பிரதமரின் பிரதமர்
1 சீனா சீனாவின் தமிழர்களின் தமிழர்கள்
1 சீனா சீனாவின் மக்களின் மக்கள்
1 சீனா சீனாவின் கையின் கை
1 சீனா சீனாவின் தலைவரின் தலைவர்
1 சீனா சீனாவின் நாயகனின் நாயகன்
1 சீனா சீனாவின் மனைவியின் மனைவி
1 சீனா சீனாவின் கணவரின் கணவர்
1 சீனா சீனாவின் பழத்தின் பழம்
1 சீனா சீனாவின் புள்ளியின் புள்ளி
1 சீனா சீனாவின் மயிலின் மயில்
1 சீனா சீனாவின் மரத்தின் மரம்
1 சீனா சீனாவின் படிப்பின் படிப்பு
1 சீனா சீனாவின் அம்மாவின் அம்மா
1 சீனா சீனாவின் தாயின் தாய்
1 சீனா சீனாவின் திரைப்படத்தின் திரைப்படம்
1 சீனா சீனாவின் ராஜாவின் ராஜா
1 சீனா சீனாவின் ஆண்டவரின் ஆண்டவர்
1 சீனா சீனாவின் பிரதமரின் பிரதமர்
1 தமிழர்கள் தமிழர்களின் மக்களின் மக்கள்
1 தமிழர்கள் தமிழர்களின் கையின் கை
1 தமிழர்கள் தமிழர்களின் தலைவரின் தலைவர்
1 தமிழர்கள் தமிழர்களின் நாயகனின் நாயகன்
1 தமிழர்கள் தமிழர்களின் மனைவியின் மனைவி
1 தமிழர்கள் தமிழர்களின் கணவரின் கணவர்
1 தமிழர்கள் தமிழர்களின் பழத்தின் பழம்
1 தமிழர்கள் தமிழர்களின் புள்ளியின் புள்ளி
1 தமிழர்கள் தமிழர்களின் மயிலின் மயில்
1 தமிழர்கள் தமிழர்களின் மரத்தின் மரம்
1 தமிழர்கள் தமிழர்களின் படிப்பின் படிப்பு
1 தமிழர்கள் தமிழர்களின் அம்மாவின் அம்மா
1 தமிழர்கள் தமிழர்களின் தாயின் தாய்
1 தமிழர்கள் தமிழர்களின் திரைப்படத்தின் திரைப்படம்
1 தமிழர்கள் தமிழர்களின் ராஜாவின் ராஜா
1 தமிழர்கள் தமிழர்களின் ஆண்டவரின் ஆண்டவர்
1 தமிழர்கள் தமிழர்களின் பிரதமரின் பிரதமர்
1 மக்கள் மக்களின் கையின் கை
1 மக்கள் மக்களின் தலைவரின் தலைவர்
1 மக்கள் மக்களின் நாயகனின் நாயகன்
1 மக்கள் மக்களின் மனைவியின் மனைவி
1 மக்கள் மக்களின் கணவரின் கணவர்
1 மக்கள் மக்களின் பழத்தின் பழம்
1 மக்கள் மக்களின் புள்ளியின் புள்ளி
1 மக்கள் மக்களின் மயிலின் மயில்
1 மக்கள் மக்களின் மரத்தின் மரம்
1 மக்கள் மக்களின் படிப்பின் படிப்பு
1 மக்கள் மக்களின் அம்மாவின் அம்மா
1 மக்கள் மக்களின் தாயின் தாய்
1 மக்கள் மக்களின் திரைப்படத்தின் திரைப்படம்
1 மக்கள் மக்களின் ராஜாவின் ராஜா
1 மக்கள் மக்களின் ஆண்டவரின் ஆண்டவர்
1 மக்கள் மக்களின் பிரதமரின் பிரதமர்
1 கை கையின் தலைவரின் தலைவர்
1 கை கையின் நாயகனின் நாயகன்
1 கை கையின் மனைவியின் மனைவி
1 கை கையின் கணவரின் கணவர்
1 கை கையின் பழத்தின் பழம்
1 கை கையின் புள்ளியின் புள்ளி
1 கை கையின் மயிலின் மயில்
1 கை கையின் மரத்தின் மரம்
1 கை கையின் படிப்பின் படிப்பு
1 கை கையின் அம்மாவின் அம்மா
1 கை கையின் தாயின் தாய்
1 கை கையின் திரைப்படத்தின் திரைப்படம்
1 கை கையின் ராஜாவின் ராஜா
1 கை கையின் ஆண்டவரின் ஆண்டவர்
1 கை கையின் பிரதமரின் பிரதமர்
1 தலைவர் தலைவரின் நாயகனின் நாயகன்
1 தலைவர் தலைவரின் மனைவியின் மனைவி
1 தலைவர் தலைவரின் கணவரின் கணவர்
1 தலைவர் தலைவரின் பழத்தின் பழம்
1 தலைவர் தலைவரின் புள்ளியின் புள்ளி
1 தலைவர் தலைவரின் மயிலின் மயில்
1 தலைவர் தலைவரின் மரத்தின் மரம்
1 தலைவர் தலைவரின் படிப்பின் படிப்பு
1 தலைவர் தலைவரின் அம்மாவின் அம்மா
1 தலைவர் தலைவரின் தாயின் தாய்
1 தலைவர் தலைவரின் திரைப்படத்தின் திரைப்படம்
1 தலைவர் தலைவரின் ராஜாவின் ராஜா
1 தலைவர் தலைவரின் ஆண்டவரின் ஆண்டவர்
1 தலைவர் தலைவரின் பிரதமரின் பிரதமர்
1 நாயகன் நாயகனின் மனைவியின் மனைவி
1 நாயகன் நாயகனின் கணவரின் கணவர்
1 நாயகன் நாயகனின் பழத்தின் பழம்
1 நாயகன் நாயகனின் புள்ளியின் புள்ளி
1 நாயகன் நாயகனின் மயிலின் மயில்
1 நாயகன் நாயகனின் மரத்தின் மரம்
1 நாயகன் நாயகனின் படிப்பின் படிப்பு
1 நாயகன் நாயகனின் அம்மாவின் அம்மா
1 நாயகன் நாயகனின் தாயின் தாய்
1 நாயகன் நாயகனின் திரைப்படத்தின் திரைப்படம்
1 நாயகன் நாயகனின் ராஜாவின் ராஜா
1 நாயகன் நாயகனின் ஆண்டவரின் ஆண்டவர்
1 நாயகன் நாயகனின் பிரதமரின் பிரதமர்
1 மனைவி மனைவியின் கணவரின் கணவர்
1 மனைவி மனைவியின் பழத்தின் பழம்
1 மனைவி மனைவியின் புள்ளியின் புள்ளி
1 மனைவி மனைவியின் மயிலின் மயில்
1 மனைவி மனைவியின் மரத்தின் மரம்
1 மனைவி மனைவியின் படிப்பின் படிப்பு
1 மனைவி மனைவியின் அம்மாவின் அம்மா
1 மனைவி மனைவியின் தாயின் தாய்
1 மனைவி மனைவியின் திரைப்படத்தின் திரைப்படம்
1 மனைவி மனைவியின் ராஜாவின் ராஜா
1 மனைவி மனைவியின் ஆண்டவரின் ஆண்டவர்
1 மனைவி மனைவியின் பிரதமரின் பிரதமர்
1 கணவர் கணவரின் பழத்தின் பழம்
1 கணவர் கணவரின் புள்ளியின் புள்ளி
1 கணவர் கணவரின் மயிலின் மயில்
1 கணவர் கணவரின் மரத்தின் மரம்
1 கணவர் கணவரின் படிப்பின் படிப்பு
1 கணவர் கணவரின் அம்மாவின் அம்மா
1 கணவர் கணவரின் தாயின் தாய்
1 கணவர் கணவரின் திரைப்படத்தின் திரைப்படம்
1 கணவர் கணவரின் ராஜாவின் ராஜா
1 கணவர் கணவரின் ஆண்டவரின் ஆண்டவர்
1 கணவர் கணவரின் பிரதமரின் பிரதமர்
1 பழம் பழத்தின் புள்ளியின் புள்ளி
1 பழம் பழத்தின் மயிலின் மயில்
1 பழம் பழத்தின் மரத்தின் மரம்
1 பழம் பழத்தின் படிப்பின் படிப்பு
1 பழம் பழத்தின் அம்மாவின் அம்மா
1 பழம் பழத்தின் தாயின் தாய்
1 பழம் பழத்தின் திரைப்படத்தின் திரைப்படம்
1 பழம் பழத்தின் ராஜாவின் ராஜா
1 பழம் பழத்தின் ஆண்டவரின் ஆண்டவர்
1 பழம் பழத்தின் பிரதமரின் பிரதமர்
1 புள்ளி புள்ளியின் மயிலின் மயில்
1 புள்ளி புள்ளியின் மரத்தின் மரம்
1 புள்ளி புள்ளியின் படிப்பின் படிப்பு
1 புள்ளி புள்ளியின் அம்மாவின் அம்மா
1 புள்ளி புள்ளியின் தாயின் தாய்
1 புள்ளி புள்ளியின் திரைப்படத்தின் திரைப்படம்
1 புள்ளி புள்ளியின் ராஜாவின் ராஜா
1 புள்ளி புள்ளியின் ஆண்டவரின் ஆண்டவர்
1 புள்ளி புள்ளியின் பிரதமரின் பிரதமர்
1 மயில் மயிலின் மரத்தின் மரம்
1 மயில் மயிலின் படிப்பின் படிப்பு
1 மயில் மயிலின் அம்மாவின் அம்மா
1 மயில் மயிலின் தாயின் தாய்
1 மயில் மயிலின் திரைப்படத்தின் திரைப்படம்
1 மயில் மயிலின் ராஜாவின் ராஜா
1 மயில் மயிலின் ஆண்டவரின் ஆண்டவர்
1 மயில் மயிலின் பிரதமரின் பிரதமர்
1 மரம் மரத்தின் படிப்பின் படிப்பு
1 மரம் மரத்தின் அம்மாவின் அம்மா
1 மரம் மரத்தின் தாயின் தாய்
1 மரம் மரத்தின் திரைப்படத்தின் திரைப்படம்
1 மரம் மரத்தின் ராஜாவின் ராஜா
1 மரம் மரத்தின் ஆண்டவரின் ஆண்டவர்
1 மரம் மரத்தின் பிரதமரின் பிரதமர்
1 படிப்பு படிப்பின் அம்மாவின் அம்மா
1 படிப்பு படிப்பின் தாயின் தாய்
1 படிப்பு படிப்பின் திரைப்படத்தின் திரைப்படம்
1 படிப்பு படிப்பின் ராஜாவின் ராஜா
1 படிப்பு படிப்பின் ஆண்டவரின் ஆண்டவர்
1 படிப்பு படிப்பின் பிரதமரின் பிரதமர்
1 அம்மா அம்மாவின் தாயின் தாய்
1 அம்மா அம்மாவின் திரைப்படத்தின் திரைப்படம்
1 அம்மா அம்மாவின் ராஜாவின் ராஜா
1 அம்மா அம்மாவின் ஆண்டவரின் ஆண்டவர்
1 அம்மா அம்மாவின் பிரதமரின் பிரதமர்
1 தாய் தாயின் திரைப்படத்தின் திரைப்படம்
1 தாய் தாயின் ராஜாவின் ராஜா
1 தாய் தாயின் ஆண்டவரின் ஆண்டவர்
1 தாய் தாயின் பிரதமரின் பிரதமர்
1 திரைப்படம் திரைப்படத்தின் ராஜாவின் ராஜா
1 திரைப்படம் திரைப்படத்தின் ஆண்டவரின் ஆண்டவர்
1 திரைப்படம் திரைப்படத்தின் பிரதமரின் பிரதமர்
1 ராஜா ராஜாவின் ஆண்டவரின் ஆண்டவர்
1 ராஜா ராஜாவின் பிரதமரின் பிரதமர்
1 ஆண்டவர் ஆண்டவரின் பிரதமரின் பிரதமர்
2 தையல்காரர் தையல் சமையல் சமையல்காரர்
3 வாழைப்பழம் வாழைமரம் பலாமரம் பலாப்பழம்
3 வாழைப்பழம் வாழைமரம் அத்திமரம் அத்திப்பழம்
3 வாழைப்பழம் வாழைமரம் மாமரம் மாம்பழம்
3 பலாப்பழம் பலாமரம் அத்திமரம் அத்திப்பழம்
3 பலாப்பழம் பலாமரம் மாமரம் மாம்பழம்
3 அத்திப்பழம் அத்திமரம் மாமரம் மாம்பழம்
3 புளி புளியமரம் நெல்லிமரம் நெல்லி
3 புளி புளியமரம் கொய்யாமரம் கொய்யா
3 புளி புளியமரம் இலந்தைமரம் இலந்தை
3 நெல்லி நெல்லிமரம் கொய்யாமரம் கொய்யா
3 நெல்லி நெல்லிமரம் இலந்தைமரம் இலந்தை
3 கொய்யா கொய்யாமரம் இலந்தைமரம் இலந்தை
4 படிக்க படிப்பு நினைப்பு நினைக்க
4 படிக்க படிப்பு வாசிப்பு வாசிக்க
4 படிக்க படிப்பு சிரிப்பு சிரிக்க
4 நினைக்க நினைப்பு வாசிப்பு வாசிக்க
4 நினைக்க நினைப்பு சிரிப்பு சிரிக்க
4 வாசிக்க வாசிப்பு சிரிப்பு சிரிக்க
4 படுத்த படுத்தல் பறத்தல் பறக்க
4 படுத்த படுத்தல் பாடல் பாட
4 படுத்த படுத்தல் சமையல் சமைக்க
4 படுத்த படுத்தல் சொல்லுதல் சொல்ல
4 படுத்த படுத்தல் மறத்தல் மறக்க
4 படுத்த படுத்தல் எரித்தல் எரிக்க
4 படுத்த படுத்தல் தோண்டுதல் தோண்ட
4 படுத்த படுத்தல் பெருக்கல் பெருக்க
4 படுத்த படுத்தல் பிரித்தல் பிரிக்க
4 படுத்த படுத்தல் வேண்டுதல் வேண்டிக்க
4 பறக்க பறத்தல் பாடல் பாட
4 பறக்க பறத்தல் சமையல் சமைக்க
4 பறக்க பறத்தல் சொல்லுதல் சொல்ல
4 பறக்க பறத்தல் மறத்தல் மறக்க
4 பறக்க பறத்தல் எரித்தல் எரிக்க
4 பறக்க பறத்தல் தோண்டுதல் தோண்ட
4 பறக்க பறத்தல் பெருக்கல் பெருக்க
4 பறக்க பறத்தல் பிரித்தல் பிரிக்க
4 பறக்க பறத்தல் வேண்டுதல் வேண்டிக்க
4 பாட பாடல் சமையல் சமைக்க
4 பாட பாடல் சொல்லுதல் சொல்ல
4 பாட பாடல் மறத்தல் மறக்க
4 பாட பாடல் எரித்தல் எரிக்க
4 பாட பாடல் தோண்டுதல் தோண்ட
4 பாட பாடல் பெருக்கல் பெருக்க
4 பாட பாடல் பிரித்தல் பிரிக்க
4 பாட பாடல் வேண்டுதல் வேண்டிக்க
4 சமைக்க சமையல் சொல்லுதல் சொல்ல
4 சமைக்க சமையல் மறத்தல் மறக்க
4 சமைக்க சமையல் எரித்தல் எரிக்க
4 சமைக்க சமையல் தோண்டுதல் தோண்ட
4 சமைக்க சமையல் பெருக்கல் பெருக்க
4 சமைக்க சமையல் பிரித்தல் பிரிக்க
4 சமைக்க சமையல் வேண்டுதல் வேண்டிக்க
4 சொல்ல சொல்லுதல் மறத்தல் மறக்க
4 சொல்ல சொல்லுதல் எரித்தல் எரிக்க
4 சொல்ல சொல்லுதல் தோண்டுதல் தோண்ட
4 சொல்ல சொல்லுதல் பெருக்கல் பெருக்க
4 சொல்ல சொல்லுதல் பிரித்தல் பிரிக்க
4 சொல்ல சொல்லுதல் வேண்டுதல் வேண்டிக்க
4 மறக்க மறத்தல் எரித்தல் எரிக்க
4 மறக்க மறத்தல் தோண்டுதல் தோண்ட
4 மறக்க மறத்தல் பெருக்கல் பெருக்க
4 மறக்க மறத்தல் பிரித்தல் பிரிக்க
4 மறக்க மறத்தல் வேண்டுதல் வேண்டிக்க
4 எரிக்க எரித்தல் தோண்டுதல் தோண்ட
