0 மகன் மகள் அவள் அவன்
1 பழம் பழத்தின் அம்மாவின் அம்மா
1 அவர்கள் அவர்களின் கையின் கை
1 தமிழர்கள் தமிழர்களின் மயிலின் மயில்
1 நாயகன் நாயகனின் ராஜாவின் ராஜா
1 தலை தலையின் புள்ளியின் புள்ளி
1 படிப்பு படிப்பின் ஆண்டவரின் ஆண்டவர்
1 மக்கள் மக்களின் மரத்தின் மரம்
1 அவர்கள் அவர்களின் மயிலின் மயில்
1 பழம் பழத்தின் தாயின் தாய்
1 விவசாயிகள் விவசாயிகளின் அமைச்சரின் அமைச்சர்
1 தலைவர் தலைவரின் பழத்தின் பழம்
1 சீனா சீனாவின் கணவரின் கணவர்
1 புள்ளி புள்ளியின் பிரதமரின் பிரதமர்
1 தமிழர்கள் தமிழர்களின் கணவரின் கணவர்
1 புள்ளி புள்ளியின் திரைப்படத்தின் திரைப்படம்
1 மக்கள் மக்களின் ஆண்டவரின் ஆண்டவர்
1 மரம் மரத்தின் தாயின் தாய்
1 விவசாயிகள் விவசாயிகளின் பழத்தின் பழம்
1 திரைப்படம் திரைப்படத்தின் பிரதமரின் பிரதமர்
1 அரசாங்கம் அரசாங்கத்தின் கடவுளின் கடவுள்
1 சீனா சீனாவின் மரத்தின் மரம்
1 கை கையின் தாயின் தாய்
1 மயில் மயிலின் திரைப்படத்தின் திரைப்படம்
1 அரசாங்கம் அரசாங்கத்தின் மயிலின் மயில்
1 தலை தலையின் அரசாங்கத்தின் அரசாங்கம்
1 படிப்பு படிப்பின் திரைப்படத்தின் திரைப்படம்
1 நாயகன் நாயகனின் அம்மாவின் அம்மா
1 அரசாங்கம் அரசாங்கத்தின் மரத்தின் மரம்
1 இந்தியா இந்தியாவின் மயிலின் மயில்
1 தலை தலையின் தலைவரின் தலைவர்
1 அமைச்சர் அமைச்சரின் மயிலின் மயில்
1 கடவுள் கடவுளின் சீனாவின் சீனா
1 அமைச்சர் அமைச்சரின் மனைவியின் மனைவி
1 திரைப்படம் திரைப்படத்தின் ராஜாவின் ராஜா
1 கை கையின் படிப்பின் படிப்பு
1 அரசாங்கம் அரசாங்கத்தின் பிரதமரின் பிரதமர்
1 அவர்கள் அவர்களின் பழத்தின் பழம்
1 அவர்கள் அவர்களின் அம்மாவின் அம்மா
1 கோயில் கோயிலின் தலைவரின் தலைவர்
1 அமைச்சர் அமைச்சரின் தாயின் தாய்
1 இந்தியா இந்தியாவின் பிரதமரின் பிரதமர்
1 அவர்கள் அவர்களின் தாயின் தாய்
1 தமிழர்கள் தமிழர்களின் ராஜாவின் ராஜா
1 மனைவி மனைவியின் பழத்தின் பழம்
1 தலை தலையின் அம்மாவின் அம்மா
1 அரசாங்கம் அரசாங்கத்தின் மனைவியின் மனைவி
1 பழம் பழத்தின் ஆண்டவரின் ஆண்டவர்
1 அரசாங்கம் அரசாங்கத்தின் இந்தியாவின் இந்தியா
1 விவசாயிகள் விவசாயிகளின் மக்களின் மக்கள்
1 புள்ளி புள்ளியின் அம்மாவின் அம்மா
1 மனைவி மனைவியின் தாயின் தாய்
1 தலைவர் தலைவரின் அம்மாவின் அம்மா
1 ராஜா ராஜாவின் பிரதமரின் பிரதமர்
1 கோயில் கோயிலின் அரசாங்கத்தின் அரசாங்கம்
1 படிப்பு படிப்பின் தாயின் தாய்
1 விவசாயிகள் விவசாயிகளின் தலைவரின் தலைவர்
1 தமிழர்கள் தமிழர்களின் படிப்பின் படிப்பு
1 தலைவர் தலைவரின் மயிலின் மயில்
1 நாயகன் நாயகனின் படிப்பின் படிப்பு
1 அமைச்சர் அமைச்சரின் கையின் கை
1 அமைச்சர் அமைச்சரின் மக்களின் மக்கள்
1 அரசாங்கம் அரசாங்கத்தின் கணவரின் கணவர்
1 கணவர் கணவரின் அம்மாவின் அம்மா
1 விவசாயிகள் விவசாயிகளின் மயிலின் மயில்
1 கணவர் கணவரின் பழத்தின் பழம்
1 மனைவி மனைவியின் பிரதமரின் பிரதமர்
1 படிப்பு படிப்பின் ராஜாவின் ராஜா
1 மயில் மயிலின் படிப்பின் படிப்பு
1 தலை தலையின் சீனாவின் சீனா
1 தலை தலையின் தாயின் தாய்
1 மரம் மரத்தின் திரைப்படத்தின் திரைப்படம்
1 இந்தியா இந்தியாவின் மக்களின் மக்கள்
1 தலை தலையின் ஆண்டவரின் ஆண்டவர்
1 சீனா சீனாவின் மக்களின் மக்கள்
1 மக்கள் மக்களின் புள்ளியின் புள்ளி
1 மயில் மயிலின் ஆண்டவரின் ஆண்டவர்
1 அரசாங்கம் அரசாங்கத்தின் திரைப்படத்தின் திரைப்படம்
1 மக்கள் மக்களின் நாயகனின் நாயகன்
1 சீனா சீனாவின் ராஜாவின் ராஜா
1 மனைவி மனைவியின் ஆண்டவரின் ஆண்டவர்
1 கோயில் கோயிலின் பழத்தின் பழம்
1 இந்தியா இந்தியாவின் நாயகனின் நாயகன்
1 தமிழர்கள் தமிழர்களின் ஆண்டவரின் ஆண்டவர்
1 கோயில் கோயிலின் தமிழர்களின் தமிழர்கள்
1 விவசாயிகள் விவசாயிகளின் கையின் கை
1 இந்தியா இந்தியாவின் கணவரின் கணவர்
1 கணவர் கணவரின் பிரதமரின் பிரதமர்
1 விவசாயிகள் விவசாயிகளின் மரத்தின் மரம்
1 அவர்கள் அவர்களின் மக்களின் மக்கள்
1 தலை தலையின் தமிழர்களின் தமிழர்கள்
1 கை கையின் மரத்தின் மரம்
1 பழம் பழத்தின் மரத்தின் மரம்
1 மனைவி மனைவியின் கணவரின் கணவர்
1 தமிழர்கள் தமிழர்களின் அம்மாவின் அம்மா
1 கோயில் கோயிலின் இந்தியாவின் இந்தியா
1 அமைச்சர் அமைச்சரின் தலைவரின் தலைவர்
1 தலைவர் தலைவரின் ஆண்டவரின் ஆண்டவர்
1 விவசாயிகள் விவசாயிகளின் ஆண்டவரின் ஆண்டவர்
1 மக்கள் மக்களின் தாயின் தாய்
1 சீனா சீனாவின் தமிழர்களின் தமிழர்கள்
1 அமைச்சர் அமைச்சரின் தமிழர்களின் தமிழர்கள்
1 கடவுள் கடவுளின் மரத்தின் மரம்
1 அம்மா அம்மாவின் தாயின் தாய்
1 கோயில் கோயிலின் மயிலின் மயில்
1 அமைச்சர் அமைச்சரின் சீனாவின் சீனா
1 மக்கள் மக்களின் அம்மாவின் அம்மா
1 பழம் பழத்தின் படிப்பின் படிப்பு
1 கணவர் கணவரின் திரைப்படத்தின் திரைப்படம்
1 சீனா சீனாவின் மனைவியின் மனைவி
1 கோயில் கோயிலின் புள்ளியின் புள்ளி
1 மக்கள் மக்களின் கையின் கை
1 கை கையின் கணவரின் கணவர்
1 அமைச்சர் அமைச்சரின் பழத்தின் பழம்
1 கடவுள் கடவுளின் நாயகனின் நாயகன்
1 கை கையின் திரைப்படத்தின் திரைப்படம்
1 கடவுள் கடவுளின் அம்மாவின் அம்மா
1 இந்தியா இந்தியாவின் சீனாவின் சீனா
1 பழம் பழத்தின் பிரதமரின் பிரதமர்
1 தலைவர் தலைவரின் மனைவியின் மனைவி
1 அமைச்சர் அமைச்சரின் பிரதமரின் பிரதமர்
1 மனைவி மனைவியின் புள்ளியின் புள்ளி
1 இந்தியா இந்தியாவின் கையின் கை
1 நாயகன் நாயகனின் திரைப்படத்தின் திரைப்படம்
1 கடவுள் கடவுளின் திரைப்படத்தின் திரைப்படம்
1 தமிழர்கள் தமிழர்களின் கையின் கை
1 கோயில் கோயிலின் கையின் கை
1 தலைவர் தலைவரின் தாயின் தாய்
1 அம்மா அம்மாவின் திரைப்படத்தின் திரைப்படம்
1 கோயில் கோயிலின் அமைச்சரின் அமைச்சர்
1 தலை தலையின் இந்தியாவின் இந்தியா
1 தலைவர் தலைவரின் பிரதமரின் பிரதமர்
1 சீனா சீனாவின் ஆண்டவரின் ஆண்டவர்
1 தலை தலையின் மனைவியின் மனைவி
1 அவர்கள் அவர்களின் இந்தியாவின் இந்தியா
1 இந்தியா இந்தியாவின் தாயின் தாய்
1 மனைவி மனைவியின் திரைப்படத்தின் திரைப்படம்
1 அரசாங்கம் அரசாங்கத்தின் படிப்பின் படிப்பு
1 அவர்கள் அவர்களின் மரத்தின் மரம்
1 மரம் மரத்தின் பிரதமரின் பிரதமர்
1 விவசாயிகள் விவசாயிகளின் பிரதமரின் பிரதமர்
1 மனைவி மனைவியின் மயிலின் மயில்
1 கோயில் கோயிலின் கணவரின் கணவர்
1 மனைவி மனைவியின் படிப்பின் படிப்பு
1 தலைவர் தலைவரின் திரைப்படத்தின் திரைப்படம்
1 நாயகன் நாயகனின் பழத்தின் பழம்
1 கணவர் கணவரின் மரத்தின் மரம்
1 கடவுள் கடவுளின் ராஜாவின் ராஜா
1 புள்ளி புள்ளியின் தாயின் தாய்
1 அவன் அவனுடைய அவளுடைய அவள்
1 தாய் தாயின் ராஜாவின் ராஜா
1 அவர்கள் அவர்களின் திரைப்படத்தின் திரைப்படம்
1 கை கையின் மயிலின் மயில்
1 நாயகன் நாயகனின் புள்ளியின் புள்ளி
1 அம்மா அம்மாவின் ராஜாவின் ராஜா
1 படிப்பு படிப்பின் அம்மாவின் அம்மா
1 நாயகன் நாயகனின் மனைவியின் மனைவி
1 சீனா சீனாவின் தலைவரின் தலைவர்
1 அரசாங்கம் அரசாங்கத்தின் மக்களின் மக்கள்
1 விவசாயிகள் விவசாயிகளின் நாயகனின் நாயகன்
1 கடவுள் கடவுளின் ஆண்டவரின் ஆண்டவர்
1 விவசாயிகள் விவசாயிகளின் மனைவியின் மனைவி
1 மரம் மரத்தின் ராஜாவின் ராஜா
1 இந்தியா இந்தியாவின் திரைப்படத்தின் திரைப்படம்
1 விவசாயிகள் விவசாயிகளின் சீனாவின் சீனா
1 அரசாங்கம் அரசாங்கத்தின் அம்மாவின் அம்மா
1 அரசாங்கம் அரசாங்கத்தின் தமிழர்களின் தமிழர்கள்
1 பழம் பழத்தின் ராஜாவின் ராஜா
1 அரசாங்கம் அரசாங்கத்தின் கையின் கை
1 கை கையின் மனைவியின் மனைவி
1 கை கையின் அம்மாவின் அம்மா
1 கை கையின் ஆண்டவரின் ஆண்டவர்
1 கடவுள் கடவுளின் பிரதமரின் பிரதமர்
1 தமிழர்கள் தமிழர்களின் பழத்தின் பழம்
1 மக்கள் மக்களின் பழத்தின் பழம்
1 அவர்கள் அவர்களின் நாயகனின் நாயகன்
1 கோயில் கோயிலின் விவசாயிகளின் விவசாயிகள்
1 அவன் அவனுடைய அதனுடைய அது
1 தமிழர்கள் தமிழர்களின் தாயின் தாய்
1 இந்தியா இந்தியாவின் மரத்தின் மரம்
1 இந்தியா இந்தியாவின் புள்ளியின் புள்ளி
1 கடவுள் கடவுளின் மக்களின் மக்கள்
1 பழம் பழத்தின் புள்ளியின் புள்ளி
1 இந்தியா இந்தியாவின் ஆண்டவரின் ஆண்டவர்
1 தலைவர் தலைவரின் நாயகனின் நாயகன்
1 மயில் மயிலின் தாயின் தாய்
1 அமைச்சர் அமைச்சரின் புள்ளியின் புள்ளி
1 தலை தலையின் படிப்பின் படிப்பு
1 அரசாங்கம் அரசாங்கத்தின் தாயின் தாய்
1 படிப்பு படிப்பின் பிரதமரின் பிரதமர்
1 அமைச்சர் அமைச்சரின் இந்தியாவின் இந்தியா
1 கடவுள் கடவுளின் கணவரின் கணவர்
1 கை கையின் நாயகனின் நாயகன்
1 அவர்கள் அவர்களின் சீனாவின் சீனா
1 கோயில் கோயிலின் தாயின் தாய்
1 மக்கள் மக்களின் தலைவரின் தலைவர்
1 நாயகன் நாயகனின் கணவரின் கணவர்
1 அம்மா அம்மாவின் பிரதமரின் பிரதமர்
1 கோயில் கோயிலின் நாயகனின் நாயகன்
1 அவர்கள் அவர்களின் தலைவரின் தலைவர்
1 தமிழர்கள் தமிழர்களின் மனைவியின் மனைவி
1 கை கையின் பழத்தின் பழம்
1 கை கையின் பிரதமரின் பிரதமர்
1 கடவுள் கடவுளின் படிப்பின் படிப்பு
1 விவசாயிகள் விவசாயிகளின் தமிழர்களின் தமிழர்கள்
1 அவர்கள் அவர்களின் அமைச்சரின் அமைச்சர்
1 கோயில் கோயிலின் ராஜாவின் ராஜா
1 மனைவி மனைவியின் மரத்தின் மரம்
1 அவர்கள் அவர்களின் மனைவியின் மனைவி
1 அரசாங்கம் அரசாங்கத்தின் நாயகனின் நாயகன்
1 கடவுள் கடவுளின் தமிழர்களின் தமிழர்கள்
1 தலைவர் தலைவரின் ராஜாவின் ராஜா
1 கோயில் கோயிலின் படிப்பின் படிப்பு
1 தமிழர்கள் தமிழர்களின் பிரதமரின் பிரதமர்
1 அவர்கள் அவர்களின் கடவுளின் கடவுள்
1 நாயகன் நாயகனின் ஆண்டவரின் ஆண்டவர்
1 மனைவி மனைவியின் அம்மாவின் அம்மா
1 தலை தலையின் மக்களின் மக்கள்
1 இந்தியா இந்தியாவின் பழத்தின் பழம்
1 சீனா சீனாவின் நாயகனின் நாயகன்
1 அமைச்சர் அமைச்சரின் கடவுளின் கடவுள்
1 அவர்கள் அவர்களின் ராஜாவின் ராஜா
1 அமைச்சர் அமைச்சரின் அம்மாவின் அம்மா
1 தலை தலையின் கணவரின் கணவர்
1 தமிழர்கள் தமிழர்களின் திரைப்படத்தின் திரைப்படம்
3 வாழைப்பழம் வாழைமரம் அத்திமரம் அத்திப்பழம்
3 வாழைப்பழம் வாழைமரம் பலாமரம் பலாப்பழம்
3 அத்திப்பழம் அத்திமரம் மாமரம் மாம்பழம்
3 பலாப்பழம் பலாமரம் மாமரம் மாம்பழம்
4 சமைக்க சமையல் பிரித்தல் பிரிக்க
4 சமைக்க சமையல் எரித்தல் எரிக்க
4 தோண்ட தோண்டுதல் பெருக்கல் பெருக்க
4 சமைக்க சமையல் தோண்டுதல் தோண்ட
4 படிக்க படிப்பு வாசிப்பு வாசிக்க
4 சொல்ல சொல்லுதல் பெருக்கல் பெருக்க
4 பெருக்க பெருக்கல் பிரித்தல் பிரிக்க
4 நினைக்க நினைப்பு வாசிப்பு வாசிக்க
4 படுத்த படுத்தல் சொல்லுதல் சொல்ல
4 படுத்த படுத்தல் எரித்தல் எரிக்க
4 பறக்க பறத்தல் சொல்லுதல் சொல்ல
4 படுத்த படுத்தல் சமையல் சமைக்க
4 பாட பாடல் சமையல் சமைக்க
4 பாட பாடல் தோண்டுதல் தோண்ட
4 சொல்ல சொல்லுதல் எரித்தல் எரிக்க
4 நினைக்க நினைப்பு சிரிப்பு சிரிக்க
4 பாட பாடல் பிரித்தல் பிரிக்க
4 சமைக்க சமையல் சொல்லுதல் சொல்ல
4 எரிக்க எரித்தல் பிரித்தல் பிரிக்க
4 சொல்ல சொல்லுதல் மறத்தல் மறக்க
4 யோசிக்க யோசனை விற்பனை விற்க
4 படிக்க படிப்பு நினைப்பு நினைக்க
4 பறக்க பறத்தல் எரித்தல் எரிக்க
4 படுத்த படுத்தல் பெருக்கல் பெருக்க
4 பாட பாடல் பெருக்கல் பெருக்க
4 சமைக்க சமையல் மறத்தல் மறக்க
4 மறக்க மறத்தல் பிரித்தல் பிரிக்க
4 மறக்க மறத்தல் எரித்தல் எரிக்க
4 பறக்க பறத்தல் சமையல் சமைக்க
4 பாட பாடல் சொல்லுதல் சொல்ல
4 பாட பாடல் எரித்தல் எரிக்க
4 படிக்க படிப்பு சிரிப்பு சிரிக்க
4 தோண்ட தோண்டுதல் பிரித்தல் பிரிக்க
4 பறக்க பறத்தல் பாடல் பாட
4 மறக்க மறத்தல் தோண்டுதல் தோண்ட
4 பாட பாடல் மறத்தல் மறக்க
4 பறக்க பறத்தல் மறத்தல் மறக்க
4 சொல்ல சொல்லுதல் பிரித்தல் பிரிக்க
4 படுத்த படுத்தல் பாடல் பாட
5 நாய் நாய்க்குட்டி புலிக்குட்டி புலி
5 ஆடு ஆட்டுக்குட்டி புலிக்குட்டி புலி
9 தூய்மையான தூய்மையற்ற உயிரற்ற உயிருள்ள
9 நல்ல கெட்ட கெட்டவன் நல்லவன்
9 பாதுகாப்பான பாதுகாப்பற்ற உயிரற்ற உயிருள்ள
10 அவள் அவளை தமிழர்களை தமிழர்கள்
10 அமைச்சர் அமைச்சரை பிரதமரை பிரதமர்
10 அவர் அவரை மக்களை மக்கள்
10 அது அதை சீனாவை சீனா
10 தமிழர்கள் தமிழர்களை மக்களை மக்கள்
10 அது அதை தமிழர்களை தமிழர்கள்
10 அது அதை தலைவரை தலைவர்
10 தமிழர்கள் தமிழர்களை கையை கை
10 பிரதமர் பிரதமரை கோவிலை கோயில்
10 அது அதை அவரை அவர்
10 அவன் அவனை கையை கை
10 அவர் அவரை அவளை அவள்
10 தமிழர்கள் தமிழர்களை அரசாங்கத்தை அரசாங்கம்
10 அது அதை கையை கை
10 இந்தியா இந்தியாவை அரசாங்கத்தை அரசாங்கம்
10 அவள் அவளை தலைவரை தலைவர்
10 அவர்கள் அவர்களை இந்தியாவை இந்தியா
10 அவன் அவனை அரசாங்கத்தை அரசாங்கம்
10 ஆண்டவர் ஆண்டவரை அரசாங்கத்தை அரசாங்கம்
10 அவன் அவனை அமைச்சரை அமைச்சர்
10 அவர்கள் அவர்களை அமைச்சரை அமைச்சர்
10 அவர் அவரை தமிழர்களை தமிழர்கள்
10 மக்கள் மக்களை அரசாங்கத்தை அரசாங்கம்
10 அவர் அவரை பிரதமரை பிரதமர்
10 அது அதை மக்களை மக்கள்
10 தலை தலையை கோவிலை கோயில்
10 தமிழர்கள் தமிழர்களை கோவிலை கோயில்
10 ஆண்டவர் ஆண்டவரை தலையை தலை
10 அது அதை தலையை தலை
10 அவன் அவனை அவரை அவர்
10 அவன் அவனை தலைவரை தலைவர்
10 பிரதமர் பிரதமரை கையை கை
10 அவன் அவனை அதை அது
10 அது அதை ஆண்டவரை ஆண்டவர்
10 அவர்கள் அவர்களை தலைவரை தலைவர்
10 அவள் அவளை கோவிலை கோயில்
10 அவர் அவரை அமைச்சரை அமைச்சர்
10 பிரதமர் பிரதமரை மக்களை மக்கள்
10 அவர்கள் அவர்களை கையை கை
10 தலைவர் தலைவரை கோவிலை கோயில்
10 பிரதமர் பிரதமரை தலைவரை தலைவர்
10 கை கையை கோவிலை கோயில்
10 அமைச்சர் அமைச்சரை தலைவரை தலைவர்
10 ஆண்டவர் ஆண்டவரை கோவிலை கோயில்
10 அவன் அவனை சீனாவை சீனா
10 ஆண்டவர் ஆண்டவரை பிரதமரை பிரதமர்
10 அவன் அவனை அவளை அவள்
10 அது அதை அவளை அவள்
10 அது அதை இந்தியாவை இந்தியா
10 அவள் அவளை அரசாங்கத்தை அரசாங்கம்
10 இந்தியா இந்தியாவை மக்களை மக்கள்
10 சீனா சீனாவை அரசாங்கத்தை அரசாங்கம்
10 அவள் அவளை மக்களை மக்கள்
10 ஆண்டவர் ஆண்டவரை இந்தியாவை இந்தியா
10 அவர் அவரை தலையை தலை
10 அவன் அவனை அவர்களை அவர்கள்
10 இந்தியா இந்தியாவை சீனாவை சீனா
10 அது அதை பிரதமரை பிரதமர்
10 அவர்கள் அவர்களை சீனாவை சீனா
10 இந்தியா இந்தியாவை கையை கை
10 ஆண்டவர் ஆண்டவரை தமிழர்களை தமிழர்கள்
10 சீனா சீனாவை மக்களை மக்கள்
10 பிரதமர் பிரதமரை சீனாவை சீனா
10 அவர்கள் அவர்களை கோவிலை கோயில்
10 பிரதமர் பிரதமரை இந்தியாவை இந்தியா
10 அவள் அவளை அவர்களை அவர்கள்
10 அவள் அவளை பிரதமரை பிரதமர்
10 இந்தியா இந்தியாவை தமிழர்களை தமிழர்கள்
10 அவர்கள் அவர்களை ஆண்டவரை ஆண்டவர்
10 அவர் அவரை கையை கை
10 அமைச்சர் அமைச்சரை சீனாவை சீனா
10 அவன் அவனை ஆண்டவரை ஆண்டவர்
10 அவர் அவரை தலைவரை தலைவர்
10 அவர்கள் அவர்களை மக்களை மக்கள்
10 தலை தலையை அரசாங்கத்தை அரசாங்கம்
10 அமைச்சர் அமைச்சரை கையை கை
10 அவன் அவனை கோவிலை கோயில்
10 அவள் அவளை தலையை தலை
10 அவர்கள் அவர்களை தமிழர்களை தமிழர்கள்
10 அவள் அவளை ஆண்டவரை ஆண்டவர்
10 அது அதை அரசாங்கத்தை அரசாங்கம்
10 அவர் அவரை அவர்களை அவர்கள்
10 அவர் அவரை சீனாவை சீனா
10 அமைச்சர் அமைச்சரை மக்களை மக்கள்
10 அவன் அவனை மக்களை மக்கள்
10 இந்தியா இந்தியாவை கோவிலை கோயில்
10 அவர்கள் அவர்களை அரசாங்கத்தை அரசாங்கம்
10 அவன் அவனை தமிழர்களை தமிழர்கள்
10 அமைச்சர் அமைச்சரை ஆண்டவரை ஆண்டவர்
10 அவள் அவளை அமைச்சரை அமைச்சர்
10 மக்கள் மக்களை தலைவரை தலைவர்
10 அவள் அவளை இந்தியாவை இந்தியா
10 அமைச்சர் அமைச்சரை அரசாங்கத்தை அரசாங்கம்
10 ஆண்டவர் ஆண்டவரை கையை கை
10 அமைச்சர் அமைச்சரை தலையை தலை
10 அது அதை அமைச்சரை அமைச்சர்
10 சீனா சீனாவை கோவிலை கோயில்
10 அது அதை கோவிலை கோயில்
10 மக்கள் மக்களை கையை கை
10 அமைச்சர் அமைச்சரை கோவிலை கோயில்
10 அமைச்சர் அமைச்சரை தமிழர்களை தமிழர்கள்
10 சீனா சீனாவை தலையை தலை
11 அவன் அவனுக்கு அவளுக்கு அவள்
11 அவர்கள் அவர்களுக்கு அரசாங்கத்திற்கு அரசாங்கம்
11 அமைச்சர் அமைச்சருக்கு கைக்கு கை
11 மக்கள் மக்களுக்கு தலைக்கு தலை
11 அவர் அவருக்கு அவளுக்கு அவள்
11 கோயில் கோவிலுக்கு விவசாயிக்கு விவசாயி
11 அது அதற்கு மக்களுக்கு மக்கள்
11 அவர் அவருக்கு ஆண்டவருக்கு ஆண்டவர்
11 அவள் அவளுக்கு மக்களுக்கு மக்கள்
11 அமைச்சர் அமைச்சருக்கு விவசாயிக்கு விவசாயி
11 ஆண்டவர் ஆண்டவருக்கு மக்களுக்கு மக்கள்
11 அவள் அவளுக்கு தலைவருக்கு தலைவர்
11 அது அதற்கு தமிழர்களுக்கு தமிழர்கள்
11 சீனா சீனாவுக்கு தலைவருக்கு தலைவர்
11 அது அதற்கு ஆண்டவருக்கு ஆண்டவர்
11 கடவுள் கடவுளுக்கு கோவிலுக்கு கோயில்
11 கடவுள் கடவுளுக்கு இந்தியாவுக்கு இந்தியா
11 இந்தியா இந்தியாவுக்கு தலைக்கு தலை
11 பிரதமர் பிரதமருக்கு தலைக்கு தலை
11 அவர்கள் அவர்களுக்கு ஆண்டவருக்கு ஆண்டவர்
11 அவன் அவனுக்கு இந்தியாவுக்கு இந்தியா
11 அவன் அவனுக்கு அமைச்சருக்கு அமைச்சர்
11 அவர் அவருக்கு தலைவருக்கு தலைவர்
11 அது அதற்கு அவளுக்கு அவள்
11 அது அதற்கு சீனாவுக்கு சீனா
11 அது அதற்கு கைக்கு கை
11 தலைவர் தலைவருக்கு கோவிலுக்கு கோயில்
11 அவர்கள் அவர்களுக்கு சீனாவுக்கு சீனா
11 அவன் அவனுக்கு கோவிலுக்கு கோயில்
11 அவர்கள் அவர்களுக்கு கடவுளுக்கு கடவுள்
11 கடவுள் கடவுளுக்கு தலைக்கு தலை
11 தமிழர்கள் தமிழர்களுக்கு தலைவருக்கு தலைவர்
11 ஆண்டவர் ஆண்டவருக்கு பிரதமருக்கு பிரதமர்
11 அவன் அவனுக்கு மக்களுக்கு மக்கள்
11 அமைச்சர் அமைச்சருக்கு கோவிலுக்கு கோயில்
11 அமைச்சர் அமைச்சருக்கு கடவுளுக்கு கடவுள்
11 ஆண்டவர் ஆண்டவருக்கு கோவிலுக்கு கோயில்
11 அமைச்சர் அமைச்சருக்கு தமிழர்களுக்கு தமிழர்கள்
11 அவர்கள் அவர்களுக்கு பிரதமருக்கு பிரதமர்
11 அவர்கள் அவர்களுக்கு தலைக்கு தலை
11 ஆண்டவர் ஆண்டவருக்கு விவசாயிக்கு விவசாயி
11 அவர்கள் அவர்களுக்கு தமிழர்களுக்கு தமிழர்கள்
11 சீனா சீனாவுக்கு தலைக்கு தலை
11 தலை தலைக்கு கோவிலுக்கு கோயில்
11 அவள் அவளுக்கு இந்தியாவுக்கு இந்தியா
11 கை கைக்கு தலைக்கு தலை
11 தமிழர்கள் தமிழர்களுக்கு கைக்கு கை
11 அவள் அவளுக்கு அமைச்சருக்கு அமைச்சர்
11 அவள் அவளுக்கு கைக்கு கை
11 கை கைக்கு தலைவருக்கு தலைவர்
11 தலை தலைக்கு விவசாயிக்கு விவசாயி
11 கடவுள் கடவுளுக்கு தலைவருக்கு தலைவர்
11 அவன் அவனுக்கு சீனாவுக்கு சீனா
11 அது அதற்கு கடவுளுக்கு கடவுள்
11 அமைச்சர் அமைச்சருக்கு மக்களுக்கு மக்கள்
11 அவர்கள் அவர்களுக்கு மக்களுக்கு மக்கள்
11 அமைச்சர் அமைச்சருக்கு தலைவருக்கு தலைவர்
11 அது அதற்கு கோவிலுக்கு கோயில்
